Lat_Center,Lon_Center,Height_km,mean_gaussian,std_gaussian,n_eruptions_year,std_n_eruptions_year,type_v
25.0389074975,-96.3826515721,5.84,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
-17.6946288126,-75.109783768,5.82,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
0.756458109311,34.4226264028,4.203,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
29.7401881165,44.853476281,6.004,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
9.49962126462,-150.54246974,4.396,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
14.3650497248,-118.839488811,4.424,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
71.9027487533,-104.823367351,4.351,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
9.03265798454,-140.790550784,4.232,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
12.3033120918,-133.444430399,4.19,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
23.9069782166,-79.8194481572,6.523,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
32.3947089876,-77.0947543285,7.379,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
20.3688532553,-171.412127491,5.462,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
8.82084210932,-171.9913852,4.711,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
3.64519698439,-159.783412168,7.519,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
0.852580911176,-165.326403176,9.661,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
-2.1528621365,-165.265397007,9.475,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
-46.6074844617,-145.35690072,4.351,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
29.9183157416,48.7196302037,6.004,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
22.6550321894,-1.32926716939,4.689,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
-7.13132319606,-138.24536756,5.086,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
-10.7040644455,173.069983411,4.401,1.5550887296309766,0.9343848318032987,24.839999999999996,12.78,all
